ID_REF,SRR1027177,SRR1027178,SRR1027179,SRR1027180,SRR1027181,SRR1027182,SRR1027188,SRR1027189,SRR1027190
CD22,65,36,50,59,46,26,18,11,41
SEMA3B,800,132,96,107,1137,378,469,582,394
MBTPS2,637,336,442,339,366,367,182,300,350
PRICKLE3,55,35,39,37,30,27,109,132,172
LTF,57,65,108,12431,176,54,30654,5674,6245
EXTL3,512,418,372,390,540,161,366,674,551
NR1H4,4,0,2,3,8,1,1,0,0
ELOVL5,10931,1883,1826,2530,4120,1575,7502,6545,9071
ALOX5,212,79,107,117,160,102,305,157,219
KDM5D,0,0,0,0,0,0,0,0,0
CALCOCO1,985,811,758,571,769,358,1219,1830,1840
UBR7,414,296,262,261,326,189,520,468,738
MAP4K5,618,288,402,553,380,201,549,1145,1341
EHD3,234,123,183,123,227,159,190,267,334
PSMC4,919,557,487,215,487,282,1214,1095,1148
MAN2B2,846,654,562,389,516,364,1048,815,865
SLC7A14,14,16,8,10,13,12,4,1,6
CLDN11,21,47,164,55,90,56,99,122,405
SLC25A39,686,439,400,147,357,377,1795,1048,643
MVP,1667,1122,924,965,1241,620,1205,1050,1335
NUB1,724,545,559,401,610,608,638,1026,1044
PGM3,1140,375,335,474,604,297,800,994,1425
RWDD2A,173,97,94,65,130,63,118,109,144
CLK1,2011,1172,1189,760,1068,656,6351,4466,3577
POLR3B,219,115,171,154,211,79,101,89,142
ANGEL1,262,196,233,206,235,148,388,330,396
RNF14,454,586,624,297,626,394,464,437,401
DNASE1L1,178,92,135,84,165,60,152,154,109
DDX11,104,123,102,78,86,29,93,105,89
HEBP1,192,385,462,136,298,420,657,576,508
GPRC5A,1792,6902,3225,754,2083,1296,4157,3437,4799
MAMLD1,13,33,29,37,19,12,92,358,528
CD6,54,33,52,50,49,21,35,42,24
TACC3,224,106,100,49,93,73,93,133,72
UFL1,536,323,310,333,402,158,389,437,559
POLA2,68,32,46,33,48,21,18,26,8
ZC3H3,67,111,102,70,63,82,115,271,359
CAPN1,1825,892,1012,576,996,625,2410,2000,1609
ACPP,34,13,24,15,21,5,30,16,25
MDH1,1417,486,494,448,725,502,1384,996,772
SLC30A9,1263,1114,1283,748,1404,938,845,1032,884
MTMR11,151,109,96,241,139,62,195,199,202
COX15,307,147,198,179,219,198,332,282,275
CCDC88C,460,132,237,297,438,192,274,541,460
YAF2,251,199,166,160,166,213,143,267,286
ZMYND11,2975,932,991,753,752,664,1309,1353,1765
WAS,55,30,34,32,37,29,39,40,34
DPEP1,15,9,10,12,11,5,7,1,1
BID,461,113,106,109,125,62,234,523,242
MATR3,104,151,195,182,136,109,135,224,184
NPC1L1,10,24,14,19,23,19,53,63,91
XYLT2,476,351,353,124,250,140,125,209,170
RGPD5,0,2,2,1,1,0,0,0,0
STMN4,2,3,9,3,7,3,4,9,9
NUDCD3,1043,826,701,626,782,519,700,873,896
ISL1,0,2,2,2,2,1,2,3,1
CHDH,135,201,112,60,213,427,366,415,279
IL20RA,910,176,289,117,193,614,459,133,216
CLCA1,2,2,2,5,5,0,1,0,0
CLCA4,0,2,2,5,2,1,52,39,32
GLT8D1,481,675,394,523,442,355,307,415,435
ATP2C1,2589,1102,1496,1210,1706,764,1648,1803,2103
IGF1,33,16,47,98,40,23,79,328,290
SLC38A5,84,35,44,129,40,28,55,90,102
RALBP1,854,924,815,381,838,398,775,979,1329
RUFY3,578,490,505,498,423,567,420,735,639
CNTN1,80,242,216,469,174,41,119,462,983
SLC11A1,94,49,33,67,38,18,8,8,11
WWTR1,1206,455,737,1066,605,159,2661,5972,7993
AGPS,1963,454,428,646,772,665,338,416,410
ZNF806,1,0,0,0,0,0,0,0,0
CXorf56,239,128,208,79,206,40,252,200,236
ATP1A2,26,89,84,92,73,23,138,161,224
TTC27,829,163,257,112,310,159,375,376,341
ZNF582,29,53,22,55,35,34,31,23,29
VSIG2,2,6,2,11,4,4,236,195,102
PHLDB1,1085,640,719,1039,524,273,602,1296,1324
MARCO,28,5,8,28,17,6,31,25,8
CYP24A1,3,12,12,15,19,2,254,2565,55
PRDM11,173,62,86,103,120,53,143,191,274
SYT13,4,38,77,9,1020,382,12,19,17
SNAI2,197,156,171,311,143,38,311,803,1636
CD74,3608,1872,1879,3694,1936,2768,20351,15652,16203
HGF,148,87,186,197,174,66,211,507,548
ZRANB1,376,552,277,217,187,152,393,854,830
NCDN,562,280,301,174,332,254,225,253,236
ADGRA2,220,301,396,456,292,72,631,1424,1829
CCT8L1P,2,0,1,2,4,1,0,0,1
ZFP64,279,190,187,116,302,64,106,132,177
MNAT1,350,123,169,132,177,137,195,187,225
SAMD4A,129,90,118,267,100,38,671,2124,2581
RUNX3,47,40,46,18,26,19,180,324,665
MRE11,442,351,373,319,395,310,269,367,375
PLEKHB1,218,65,61,52,145,24,605,259,224
SERPINB1,1548,258,327,390,634,295,1663,1197,1139
CYP3A43,5,6,3,4,2,1,1,0,0
SLC7A9,16,11,10,9,9,5,8,10,6
SPAST,823,306,393,286,467,228,186,357,448
NRXN3,46,31,21,32,30,18,78,85,82
OSBPL5,124,117,56,123,90,99,375,576,483
AQR,1287,762,793,683,927,717,674,690,962
CPS1,47,24,35,75,44,11,101,125,130
C8B,2,9,4,5,4,2,9,5,0
FHL1,214,128,152,1348,137,94,1111,1920,2580
RTF2,2164,566,714,363,914,253,1192,780,789
GABRA1,3,7,9,8,7,1,4,0,0
NLRP2,717,505,232,275,100,6,81,124,91
SLC45A4,149,124,112,89,175,145,204,277,406
RNF10,1749,754,1188,720,1149,685,3174,3143,4297
ZNF839,101,38,48,73,93,41,112,131,95
ZDHHC6,711,214,294,225,311,235,356,445,445
GRAMD1B,69,39,62,61,44,31,52,60,166
RNH1,677,391,413,590,551,358,1965,1533,1677
NDUFS1,3761,1826,1237,867,1434,1298,999,925,952
RB1CC1,848,939,687,636,520,584,818,1891,2361
ERP44,365,321,309,326,263,262,1180,1112,1264
ALAS1,579,442,285,242,361,209,1224,770,959
BIRC3,1180,148,333,252,364,389,1975,23891,11453
AKAP11,2027,992,971,1540,1117,1576,356,864,1115
GLRX2,650,293,373,221,371,212,86,112,115
SNAPC1,92,26,50,48,56,24,104,184,231
DERA,225,160,150,137,205,134,280,226,168
STRAP,1158,657,602,484,934,719,3058,2376,2603
ABCC2,18,16,21,22,21,5,10,19,18
DEF6,278,63,87,59,95,48,169,123,130
PLEKHO1,289,201,203,164,172,133,540,656,627
GCLM,537,275,317,190,277,217,406,310,586
UBR2,1857,875,1079,780,1210,405,595,696,867
EHD2,170,245,183,451,142,130,642,1478,2028
DEPDC1,139,61,74,16,76,81,4,22,5
CCDC28A,575,97,163,106,241,174,241,150,182
RRAGD,236,153,167,159,256,57,300,364,531
HSF2,140,118,134,106,160,62,242,387,387
PHF20,991,646,874,666,770,453,544,916,1713
HSD17B6,60,39,48,65,24,33,14,9,3
